Title,Link
TechCrunch Minute: This startup wants to mine water on the moon,https://techcrunch.com/video/techcrunch-minute-this-startup-wants-to-mine-water-on-the-moon/
Zomato buys Paytm’s entertainment ticket business for $244 million,https://techcrunch.com/2024/08/21/zomato-buys-paytms-entertainment-ticket-business-for-244-million/
Only 3 days left for massive savings on tickets to TechCrunch Disrupt 2024,https://techcrunch.com/2024/08/21/only-3-days-left-for-massive-savings-on-tickets-to-techcrunch-disrupt-2024/
Two incident management startups join forces as FireHydrant nabs Blameless,https://techcrunch.com/2024/08/21/two-incident-management-startups-join-forces-as-firehydrant-nabs-blameless/
Ring’s new battery doorbell has head-to-toe video,https://techcrunch.com/2024/08/21/ring-battery-doorbell-new-generation-head-to-toe-video/
Openmart wants to make it easier for enterprises to sell to local businesses,https://techcrunch.com/2024/08/21/openmart-wants-to-make-it-easier-for-enterprises-to-sell-to-local-businesses/
The new generation of heavy lift rockets is rising to challenge SpaceX,https://techcrunch.com/2024/08/21/the-new-generation-of-heavy-lift-rockets-rising-to-challenge-spacex/
Grafana Labs raises $270M,https://techcrunch.com/2024/08/21/grafana-labs-is-now-valued-at-6b/
Ford says a pickup truck will be the first EV built on its low-cost platform,https://techcrunch.com/2024/08/21/ford-ev-low-cost-pickup-skunkworks-team/
UK’s competition authority ends probes of Apple and Google but will use incoming powers to ‘resolve app store concerns’,https://techcrunch.com/2024/08/21/uks-competition-authority-ends-probes-of-apple-and-google-but-will-use-incoming-powers-to-resolve-app-store-concerns/
Story raises $80M at $2.25B valuation to build a blockchain for the business of content IP in the age of AI,https://techcrunch.com/2024/08/21/story-raises-83m-at-a-2-25b-valuation-to-build-a-blockchain-for-the-business-of-content-ip-in-the-age-of-ai/
Skyfire lets AI agents spend your money,https://techcrunch.com/2024/08/21/skyfire-lets-ai-agents-spend-your-money/
"WeTransfer’s expiry dates haven’t gone away, but you can at least extend them",https://techcrunch.com/2024/08/21/wetransfers-expiry-dates-havent-gone-away-but-you-can-at-least-extend-them/
"India’s trade minister decries e-commerce growth, Amazon’s ‘predatory’ pricing",https://techcrunch.com/2024/08/21/indias-trade-minister-decries-e-commerce-growth-amazons-predatory-pricing/
SleekFlow snaps up $7M to tap the conversational AI opportunity across Asia,https://techcrunch.com/2024/08/20/omnichannel-platform-sleekflow-gets-7m-to-propel-expansion-ai-capabilities/
The banks that loaned Musk $13B to buy Twitter might be having regrets,https://techcrunch.com/2024/08/20/the-banks-that-loaned-musk-13b-to-buy-twitter-might-be-having-regrets/
Is your company AI washing? Rippling founder Parker Conrad thinks it might be.,https://techcrunch.com/2024/08/20/is-your-company-ai-washing-rippling-founder-parker-conrad-thinks-it-might-be/
"Move over, Apple: Meet the alternative app stores coming to the EU",https://techcrunch.com/2024/08/20/move-over-apple-meet-the-alternative-app-stores-coming-to-the-eu/
Google’s Nest Learning Thermostat is still the one to beat,https://techcrunch.com/2024/08/20/googles-nest-learning-thermostat-is-still-the-one-to-beat/
Watch this robot quickly install roof shingles,https://techcrunch.com/2024/08/20/watch-this-robot-quickly-install-roof-shingles/
